date	32	64	other	Other
2017-03-26	36	286		0
2017-04-02	112	1026		0
2017-04-09	209	1781		0
2017-04-16	290	2513		0
2017-04-23	349	3225		0
2017-04-30	445	3879		0
2017-05-07	594	4638		0
2017-05-14	782	5393		0
2017-05-21	882	5771		0
2017-05-28	882	5772		0
2017-06-04	984	6241		0
2017-06-11	1125	6912		0
2017-06-18	1311	7564		0
2017-06-25	1484	8264		0
2017-07-02	1672	8882		0
2017-07-09	1857	9533		0
2017-07-16	2056	10258		0
2017-07-23	2249	10960		0
2017-07-30	2425	11628		0
2017-08-06	2584	12309		0
2017-08-13	2752	13033		0
2017-08-20	2963	13791		0
2017-08-27	3162	14463		0
2017-09-03	3366	15195		0
2017-09-10	3545	15890		0
2017-09-17	3769	16594		0
2017-09-24	4013	17250		0
2017-10-01	4209	17921		0
2017-10-08	4406	18712		0
2017-10-15	4628	19443		0
2017-10-22	4845	20212		0
2017-10-29	5059	20955		0
2017-11-05	5269	21797		0
2017-11-12	5488	22588		0
2017-11-19	5719	23438		0
2017-11-26	5941	24521		0
2017-12-03	6163	25306		0
2017-12-10	6356	26085		0
2017-12-17	6544	26874		0
2017-12-24	6680	27541		0
2017-12-31	6839	28345		0
2018-01-07	7059	29242		0
2018-01-14	7252	30117		0
2018-01-21	7461	30962		0
2018-01-28	7651	31812		0
2018-02-04	7857	32736		0
2018-02-11	8054	33506		0
2018-02-18	8321	34352		0
2018-02-25	8551	35250		0
2018-03-04	8763	36115		0
2018-03-11	9044	36955		0
2018-03-18	9302	37754		0
2018-03-25	9496	38564		0
2018-04-01	9680	39336		0
2018-04-08	9860	40208		0
2018-04-15	10117	41242		0
2018-04-22	10398	42347		0
2018-04-29	10625	43386		0
2018-05-06	10855	44515		0
2018-05-13	11093	45718		0
2018-05-20	11353	46795		0
2018-05-27	11587	47901		0
2018-06-03	11806	49115		0
2018-06-10	12050	50248		0
2018-06-17	12256	51090		0
2018-06-24	12461	52098		0
2018-07-01	12626	53163		0
2018-07-08	12837	54274		0
2018-07-15	13086	55251		0
2018-07-22	13301	56177		0
2018-07-29	13515	57174		0
2018-08-05	13676	58179		0
2018-08-12	13796	58882		0
2018-08-19	13916	59536		0
2018-08-26	14018	60238		0
2018-09-02	650	4096	0	
2018-09-09	717	4368	0	
2018-09-16	835	5001	0	
2018-09-23	1008	5490	0	
2018-09-30	1213	6313	0	
2018-10-07	1374	7083	0	
2018-10-14	1465	7511	0	
2018-10-21	1499	8039	0	
2018-10-28	1467	8354	0	
2018-11-04	1427	8305	0	
2018-11-11	1423	8398	0	
2018-11-18	1388	8548	0	
2018-11-25	1361	8367	0	
2018-12-02	1328	8462	0	
2018-12-09	1260	8711	0	
2018-12-16	1243	8486	0	
2018-12-23	1171	8148	0	
2018-12-30	1126	7998	0	
2019-01-06	1230	8493	0	
2019-01-13	1232	8889	0	
2019-01-20	1374	9716	0	
2019-01-27	1515	10248	0	
2019-02-03	1532	10493	0	
2019-02-10	1577	10616	0	
2019-02-17	1646	11117	0	
2019-02-24	1634	11446	0	
2019-03-03	1559	11296	0	
2019-03-10	1500	11241	0	
2019-03-17	1369	10589	0	
2019-03-24	1277	10476	0	
2019-03-31	1196	10570	0	
2019-04-07	1118	10697	0	
2019-04-14	1057	10933	0	
2019-04-21	985	11025	0	
2019-04-28	962	11186	0	
2019-05-05	984	11451	0	
2019-05-12	1000	11771	0	
2019-05-19	1026	12067	0	
2019-05-26	1057	12127	0	
2019-06-02	1037	12111	0	
2019-06-09	1008	12198	0	
2019-06-16	974	12192	0	
2019-06-23	984	12281	0	
2019-06-30	987	12521	0	
2019-07-07	1014	12526	0	
2019-07-14	1011	12621	0	
2019-07-21	986	12793	0	
