date	unique wiki count	Unique Wiki Count
2017-03-26		322
2017-04-02		1138
2017-04-09		1990
2017-04-16		2803
2017-04-23		3574
2017-04-30		4324
2017-05-07		5232
2017-05-14		6175
2017-05-21		6653
2017-05-28		6654
2017-06-04		7225
2017-06-11		8037
2017-06-18		8875
2017-06-25		9748
2017-07-02		10554
2017-07-09		11390
2017-07-16		12314
2017-07-23		13209
2017-07-30		14053
2017-08-06		14893
2017-08-13		15785
2017-08-20		16754
2017-08-27		17625
2017-09-03		18561
2017-09-10		19435
2017-09-17		20363
2017-09-24		21263
2017-10-01		22130
2017-10-08		23118
2017-10-15		24071
2017-10-22		25057
2017-10-29		26014
2017-11-05		27066
2017-11-12		28076
2017-11-19		29157
2017-11-26		30462
2017-12-03		31469
2017-12-10		32441
2017-12-17		33418
2017-12-24		34221
2017-12-31		35184
2018-01-07		36301
2018-01-14		37369
2018-01-21		38423
2018-01-28		39463
2018-02-04		40593
2018-02-11		41560
2018-02-18		42673
2018-02-25		43801
2018-03-04		44878
2018-03-11		45999
2018-03-18		47056
2018-03-25		48060
2018-04-01		49016
2018-04-08		50068
2018-04-15		51359
2018-04-22		52745
2018-04-29		54011
2018-05-06		55370
2018-05-13		56811
2018-05-20		58148
2018-05-27		59488
2018-06-03		60921
2018-06-10		62298
2018-06-17		63346
2018-06-24		64559
2018-07-01		65789
2018-07-08		67111
2018-07-15		68337
2018-07-22		69478
2018-07-29		70689
2018-08-05		71855
2018-08-12		72678
2018-08-19		73452
2018-08-26		74256
2018-09-02	4746	
2018-09-09	5085	
2018-09-16	5836	
2018-09-23	6498	
2018-09-30	7526	
2018-10-07	8457	
2018-10-14	8976	
2018-10-21	9538	
2018-10-28	9821	
2018-11-04	9732	
2018-11-11	9821	
2018-11-18	9936	
2018-11-25	9728	
2018-12-02	9790	
2018-12-09	9971	
2018-12-16	9729	
2018-12-23	9319	
2018-12-30	9124	
2019-01-06	9723	
2019-01-13	10121	
2019-01-20	11090	
2019-01-27	11763	
2019-02-03	12025	
2019-02-10	12193	
2019-02-17	12763	
2019-02-24	13080	
2019-03-03	12855	
2019-03-10	12741	
2019-03-17	11958	
2019-03-24	11753	
2019-03-31	11766	
2019-04-07	11815	
2019-04-14	11990	
2019-04-21	12010	
2019-04-28	12148	
2019-05-05	12435	
2019-05-12	12771	
2019-05-19	13093	
2019-05-26	13184	
2019-06-02	13148	
2019-06-09	13206	
2019-06-16	13166	
2019-06-23	13265	
2019-06-30	13508	
2019-07-07	13540	
2019-07-14	13632	
2019-07-21	13780	
2019-07-28	13873	
2019-08-04	14053	
2019-08-11	14254	
2019-08-18	14373	
2019-08-25	14468	
2019-09-01	14552	
2019-09-08	14806	
2019-09-15	15025	
2019-09-22	15368	
2019-09-29	15481	
2019-10-06	16190	
2019-10-13	16316	
2019-10-20	16538	
2019-10-27	16612	
2019-11-03	16428	
2019-11-10	16602	
2019-11-17	16763	
2019-11-24	16924	
2019-12-01	16931	
2019-12-08	16626	
2019-12-15	16550	
2019-12-22	16332	
2019-12-29	15898	
2020-01-05	16225	
2020-01-12	16623	
2020-01-19	16802	
2020-01-26	17428	
2020-02-02	17645	
2020-02-09	17818	
2020-02-16	18001	
2020-02-23	17972	
2020-03-01	18534	
2020-03-08	18403	
2020-03-15	18262	
2020-03-22	18487	
2020-03-29	18617	
2020-04-05	18846	
2020-04-12	19356	
2020-04-19	19523	
2020-04-26	19507	
2020-05-03	19543	
2020-05-10	19742	
2020-05-17	19775	
2020-05-24	19924	
2020-05-31	19977	
2020-06-07	20165	
2020-06-14	20222	
2020-06-21	20128	
2020-06-28	20154	
2020-07-05	20006	
2020-07-12	19862	
2020-07-19	19961	
2020-07-26	19580	
2020-08-02	20009	
2020-08-09	20184	
2020-08-16	20280	
2020-08-23	20308	
2020-08-30	30414	
2020-09-06	67623	
2020-09-13	67656	
2020-09-20	68050	
2020-09-27	67974	
2020-10-04	21316	
2020-10-11	21641	
2020-10-18	21781	
2020-10-25	21298	
2020-11-01	20860	
2020-11-08	20981	
2020-11-15	21169	
2020-11-22	21410	
2020-11-29	21637	
2020-12-06	21731	
2020-12-13	21687	
2020-12-20	21685	
2020-12-27	21431	
2021-01-03	21890	
2021-01-10	22262	
2021-01-17	22572	
2021-01-24	22983	
2021-01-31	23206	
2021-02-07	23388	
2021-02-14	23167	
2021-02-21	23192	
2021-02-28	23155	
2021-03-07	23124	
2021-03-14	23178	
2021-03-21	23258	
2021-03-28	23077	
2021-04-04	23311	
2021-04-11	21943	
2021-04-18	23793	
2021-04-25	23885	
2021-05-02	23968	
2021-05-09	23482	
2021-05-16	23629	
2021-05-23	23785	
2021-05-30	23681	
2021-06-06	23479	
2021-06-13	23027	
2021-06-20	22938	
2021-06-27	22998	
2021-07-04	23092	
2021-07-11	22970	
2021-07-18	22868	
2021-07-25	22477	
2021-08-01	22448	
2021-08-08	22705	
2021-08-15	22995	
2021-08-22	22890	
2021-08-29	22932	
2021-09-05	23159	
2021-09-12	23295	
2021-09-19	23557	
2021-09-26	23940	
2021-10-03	24281	
2021-10-10	24244	
2021-10-17	24290	
2021-10-24	24018	
2021-10-31	23887	
2021-11-07	24305	
2021-11-14	24648	
2021-11-21	24704	
2021-11-28	24547	
2021-12-05	24185	
2021-12-12	24346	
2021-12-19	23915	
2021-12-26	23402	
2022-01-02	23794	
