date	mysql	sqlite	postgres	mssql	other	Other
2017-03-26	300	13	9	0		0
2017-04-02	1050	52	36	0		0
2017-04-09	1866	78	46	0		0
2017-04-16	2618	128	57	0		0
2017-04-23	3320	178	76	0		0
2017-04-30	4042	195	87	0		0
2017-05-07	4899	227	106	0		0
2017-05-14	5812	246	117	0		0
2017-05-21	6277	254	122	0		0
2017-05-28	6278	254	122	0		0
2017-06-04	6832	260	133	0		0
2017-06-11	7616	279	142	0		0
2017-06-18	8427	298	150	0		0
2017-06-25	9249	334	165	0		0
2017-07-02	10018	361	175	0		0
2017-07-09	10820	383	187	0		0
2017-07-16	11687	414	213	0		0
2017-07-23	12533	444	232	0		0
2017-07-30	13339	468	246	0		0
2017-08-06	14114	499	280	0		0
2017-08-13	14949	528	307	1		0
2017-08-20	15891	547	315	1		0
2017-08-27	16718	582	324	1		0
2017-09-03	17596	624	340	1		0
2017-09-10	18408	661	365	1		0
2017-09-17	19296	690	376	1		0
2017-09-24	20147	717	398	1		0
2017-10-01	20973	744	412	1		0
2017-10-08	21896	790	431	1		0
2017-10-15	22794	826	450	1		0
2017-10-22	23726	867	463	1		0
2017-10-29	24627	908	478	1		0
2017-11-05	25613	945	507	1		0
2017-11-12	26577	974	524	1		0
2017-11-19	27589	1028	539	1		0
2017-11-26	28840	1064	557	1		0
2017-12-03	29809	1090	569	1		0
2017-12-10	30733	1121	586	1		0
2017-12-17	31663	1149	605	1		0
2017-12-24	32430	1171	619	1		0
2017-12-31	33336	1214	633	1		0
2018-01-07	34401	1252	646	2		0
2018-01-14	35423	1286	658	2		0
2018-01-21	36424	1327	670	2		0
2018-01-28	37408	1370	683	2		0
2018-02-04	38481	1407	703	2		0
2018-02-11	39390	1449	719	2		0
2018-02-18	40452	1489	730	2		0
2018-02-25	41540	1524	735	2		0
2018-03-04	42565	1564	747	2		0
2018-03-11	43622	1613	762	2		0
2018-03-18	44613	1667	774	2		0
2018-03-25	45555	1711	792	2		0
2018-04-01	46501	1727	786	2		0
2018-04-08	47493	1780	793	2		0
2018-04-15	48721	1827	809	2		0
2018-04-22	50034	1882	827	2		0
2018-04-29	51237	1923	849	2		0
2018-05-06	52553	1955	860	2		0
2018-05-13	53907	2027	873	4		0
2018-05-20	55165	2088	891	4		0
2018-05-27	56442	2137	905	4		0
2018-06-03	57790	2209	918	4		0
