date	x86_64	i386	i586	i686	amd64	arm	ppc	other	AMD64	ARM	Other	PPC
2017-03-26	278	0	3	15					6	14	6	0
2017-04-02	1006	0	19	34					23	38	18	0
2017-04-09	1739	2	41	73					52	55	27	1
2017-04-16	2454	2	52	106					68	79	39	3
2017-04-23	3151	2	60	128					83	96	50	4
2017-04-30	3796	4	88	151					100	125	55	5
2017-05-07	4538	4	159	175					122	166	62	6
2017-05-14	5272	4	254	192					150	223	71	9
2017-05-21	5647	5	314	205					152	246	75	9
2017-05-28	5648	5	314	205					152	246	75	9
2017-06-04	6108	5	365	224					162	270	79	12
2017-06-11	6767	5	447	246					176	300	83	13
2017-06-18	7412	5	543	279					186	344	92	14
2017-06-25	8101	9	631	292					202	401	97	15
2017-07-02	8708	9	728	307					217	466	103	16
2017-07-09	9345	11	830	335					230	506	113	20
2017-07-16	10061	11	949	370					244	537	118	24
2017-07-23	10749	11	1058	399					265	578	124	25
2017-07-30	11413	12	1155	420					273	625	129	26
2017-08-06	12084	12	1240	438					288	665	137	29
2017-08-13	12786	12	1358	453					306	693	148	29
2017-08-20	13531	13	1477	485					324	732	161	31
2017-08-27	14190	14	1585	508					342	781	172	33
2017-09-03	14912	14	1701	541					356	822	180	35
2017-09-10	15603	14	1811	560					366	859	186	36
2017-09-17	16301	14	1917	610					380	911	193	37
2017-09-24	16950	14	2064	650					389	958	201	37
2017-10-01	17604	15	2191	671					401	997	214	37
2017-10-08	18381	15	2313	692					421	1025	228	43
2017-10-15	19094	15	2457	710					441	1071	240	43
2017-10-22	19843	15	2603	737					454	1104	256	45
2017-10-29	20575	15	2728	761					465	1152	268	50
2017-11-05	21408	15	2873	780					475	1188	277	50
2017-11-12	22188	15	3029	799					493	1211	288	53
2017-11-19	23022	15	3181	810					518	1262	296	53
2017-11-26	24101	16	3306	829					537	1311	305	57
2017-12-03	24884	17	3440	854					548	1358	310	58
2017-12-10	25647	17	3551	881					567	1402	318	58
2017-12-17	26428	17	3652	902					583	1451	325	60
2017-12-24	27085	18	3718	916					593	1493	336	62
2017-12-31	27881	19	3805	933					603	1537	344	62
2018-01-07	28763	20	3941	946					617	1593	355	66
2018-01-14	29630	20	4059	965					630	1638	361	66
2018-01-21	30438	20	4201	982					670	1673	373	66
2018-01-28	31268	20	4319	997					684	1724	385	66
2018-02-04	32125	20	4456	1010					746	1772	397	67
2018-02-11	32875	21	4581	1022					766	1810	409	76
2018-02-18	33689	22	4761	1039					792	1870	424	76
2018-02-25	34572	23	4912	1058					806	1917	436	77
2018-03-04	35426	23	5053	1078					821	1951	444	82
2018-03-11	36249	23	5243	1094					843	2011	453	83
2018-03-18	37033	23	5430	1118					859	2043	468	82
2018-03-25	37820	23	5565	1130					879	2084	477	82
2018-04-01	38576	23	5693	1151					892	2113	483	85
2018-04-08	39427	23	5813	1173					914	2142	491	85
2018-04-15	40440	23	6008	1195					934	2175	498	86
2018-04-22	41529	24	6216	1217					946	2217	509	87
2018-04-29	42541	26	6374	1237					963	2255	526	89
2018-05-06	43659	27	6541	1253					977	2291	529	93
2018-05-13	44850	27	6721	1271					997	2316	536	93
2018-05-20	45906	27	6919	1290					1014	2350	548	94
2018-05-27	46995	27	7089	1305					1031	2389	558	94
2018-06-03	48194	28	7254	1319					1046	2414	572	94
2018-06-10	49316	28	7442	1334					1060	2439	585	94
2018-06-17	50146	28	7596	1342					1078	2469	588	99
2018-06-24	51146	28	7737	1353					1092	2508	594	101
2018-07-01	52188	28	7846	1360					1112	2548	603	104
2018-07-08	53270	28	7993	1373					1141	2585	613	108
2018-07-15	54223	29	8197	1382					1164	2616	617	109
2018-07-22	55105	29	8362	1391					1206	2649	627	109
2018-07-29	56076	29	8505	1407					1232	2691	637	112
2018-08-05	57060	29	8621	1411					1250	2725	646	113
2018-08-12	57757	29	8711	1413					1259	2750	646	113
2018-08-19	58397	29	8810	1420					1269	2762	652	113
2018-08-26	59095	29	8877	1426					1273	2786	657	113
2018-09-02	4047	0	461	33	62	106	3	34				
2018-09-09	4333	0	510	41	54	106	3	38				
2018-09-16	4955	0	584	49	70	134	5	39				
2018-09-23	5421	0	718	59	99	158	4	39				
2018-09-30	6230	0	876	78	111	180	4	47				
2018-10-07	6991	1	991	88	124	207	4	51				
2018-10-14	7402	1	1053	100	139	213	4	64				
2018-10-21	7897	1	1066	99	176	228	4	67				
2018-10-28	8207	1	1015	94	192	239	6	67				
2018-11-04	8157	2	996	88	201	221	5	62				
2018-11-11	8246	3	998	91	202	211	6	64				
2018-11-18	8409	3	968	93	197	198	6	62				
2018-11-25	8252	3	971	92	172	170	3	65				
2018-12-02	8364	2	903	99	165	189	5	63				
2018-12-09	8618	2	836	94	157	197	4	63				
2018-12-16	8407	2	788	92	155	215	4	66				
2018-12-23	8072	2	698	95	150	237	6	59				
2018-12-30	7902	2	632	97	160	266	6	59				
2019-01-06	8352	3	706	105	211	276	9	61				
2019-01-13	8706	3	725	102	243	272	12	58				
2019-01-20	9526	4	848	104	250	283	11	64				
2019-01-27	10047	4	962	122	261	287	11	69				
2019-02-03	10312	2	978	112	252	286	8	75				
2019-02-10	10437	3	998	114	254	303	9	75				
2019-02-17	10939	3	1039	117	255	322	7	81				
2019-02-24	11239	5	1045	101	275	323	7	85				
2019-03-03	11099	6	960	93	267	344	8	78				
2019-03-10	11040	6	909	104	263	332	7	80				
2019-03-17	10373	5	784	122	270	327	9	68				
2019-03-24	10236	2	685	137	293	319	7	74				
2019-03-31	10259	4	640	149	354	274	6	80				
2019-04-07	10325	5	548	143	414	287	7	86				
2019-04-14	10503	5	505	132	466	279	4	96				
2019-04-21	10533	4	443	117	537	286	4	86				
2019-04-28	10658	4	418	118	572	286	7	85				
2019-05-05	10886	2	426	125	618	291	9	78				
2019-05-12	11156	2	426	140	659	294	9	85				
2019-05-19	11414	4	426	154	709	289	9	88				
2019-05-26	11446	4	431	164	731	307	8	93				
2019-06-02	11450	4	431	161	697	304	5	96				
2019-06-09	11530	4	413	147	714	300	4	94				
2019-06-16	11489	3	400	140	748	282	6	98				
2019-06-23	11570	4	393	141	765	287	7	98				
2019-06-30	11761	4	401	125	826	285	8	98				
