date	limit <= 1m	1m < limit <= 32m	32m < limit <= 64m	64m < limit <= 128m	128m < limit <= 256m	256m < limit <= 512m	512m < limit <= 1g	limit > 1g	non-numeric
2017-03-26	0	1	5	234	38	27	11	6	0
2017-04-02	1	2	31	838	111	78	42	32	0
2017-04-09	4	3	73	1479	184	125	73	44	0
2017-04-16	5	4	120	2068	272	175	97	57	0
2017-04-23	7	4	175	2628	358	209	117	69	0
2017-04-30	8	5	200	3191	434	255	142	81	0
2017-05-07	10	5	214	3896	527	288	181	100	0
2017-05-14	12	5	227	4656	603	331	207	121	0
2017-05-21	12	5	232	5054	645	345	217	129	0
2017-05-28	12	5	232	5054	645	346	217	129	0
2017-06-04	12	5	253	5488	707	373	232	141	0
2017-06-11	13	6	270	6119	795	412	245	160	0
2017-06-18	14	8	287	6799	873	440	258	175	0
2017-06-25	18	9	309	7489	957	478	276	189	0
2017-07-02	18	9	326	8146	1028	515	287	201	0
2017-07-09	21	9	344	8820	1102	554	308	208	0
2017-07-16	21	9	363	9586	1163	594	324	228	0
2017-07-23	22	9	379	10308	1252	613	345	252	0
2017-07-30	24	11	400	10958	1341	645	375	269	0
2017-08-06	27	12	418	11581	1465	676	395	286	0
2017-08-13	31	12	431	12280	1566	713	407	309	0
2017-08-20	31	14	440	13036	1667	746	446	335	0
2017-08-27	35	15	450	13720	1752	780	460	372	0
2017-09-03	42	17	461	14448	1854	804	497	396	0
2017-09-10	43	17	479	15155	1934	830	519	413	0
2017-09-17	45	17	493	15904	2007	878	544	427	0
2017-09-24	48	17	502	16660	2083	910	553	440	0
2017-10-01	50	19	511	17367	2163	940	578	452	0
2017-10-08	50	21	522	18179	2253	983	590	469	0
2017-10-15	52	21	532	18938	2350	1019	618	483	0
2017-10-22	52	21	541	19692	2489	1066	635	498	0
2017-10-29	53	22	552	20471	2587	1094	655	515	0
2017-11-05	57	26	571	21338	2668	1121	672	546	0
2017-11-12	58	28	591	22121	2762	1187	694	563	0
2017-11-19	64	28	604	23024	2843	1216	713	583	0
2017-11-26	66	28	632	24003	3024	1289	734	601	0
2017-12-03	69	29	646	24818	3101	1340	756	625	0
2017-12-10	70	29	661	25570	3206	1390	775	652	0
2017-12-17	71	29	679	26342	3296	1437	805	671	0
2017-12-24	71	29	702	26952	3386	1476	829	685	0
2017-12-31	72	29	723	27687	3505	1523	859	693	0
2018-01-07	74	29	732	28575	3626	1572	886	714	0
2018-01-14	77	29	758	29393	3753	1627	916	722	0
2018-01-21	80	30	776	30250	3860	1654	933	745	0
2018-01-28	83	30	790	31070	3974	1696	959	765	0
2018-02-04	85	30	808	31920	4074	1796	992	787	0
2018-02-11	87	31	818	32667	4187	1841	1013	813	0
2018-02-18	90	31	829	33550	4316	1892	1037	824	0
2018-02-25	93	32	844	34442	4437	1929	1067	850	0
2018-03-04	94	32	859	35258	4564	1984	1106	873	0
2018-03-11	93	32	873	36171	4677	2031	1128	883	0
2018-03-18	96	32	890	37008	4780	2079	1147	910	0
2018-03-25	98	32	908	37776	4890	2128	1175	934	0
2018-04-01	99	34	928	38522	4968	2166	1217	956	2
2018-04-08	101	34	945	39313	5092	2218	1260	974	2
2018-04-15	101	34	959	40139	5206	2497	1290	994	2
2018-04-22	101	35	970	40959	5315	2883	1326	1009	3
2018-04-29	103	36	985	41679	5431	3233	1359	1035	3
2018-05-06	103	36	1000	42417	5524	3695	1387	1058	3
2018-05-13	106	36	1018	43237	5651	4129	1411	1070	3
2018-05-20	107	36	1032	44023	5763	4495	1454	1085	3
2018-05-27	108	37	1044	44764	5898	4881	1491	1112	3
2018-06-03	109	37	1050	45501	6071	5344	1519	1134	3
2018-06-10	109	39	1073	46190	6189	5846	1550	1140	3
2018-06-17	110	39	1087	46857	6297	6048	1591	1152	3
2018-06-24	110	39	1101	47582	6383	6391	1625	1159	3
2018-07-01	110	39	1120	48212	6478	6835	1643	1179	3
2018-07-08	115	41	1135	48872	6581	7311	1674	1204	3
2018-07-15	117	41	1172	49647	6657	7611	1692	1216	3
2018-07-22	117	42	1192	50378	6758	7852	1716	1230	3
2018-07-29	118	42	1211	51028	6869	8240	1744	1238	3
2018-08-05	119	42	1223	51682	6983	8573	1782	1248	3
2018-08-12	120	42	1238	52105	7048	8852	1810	1255	3
2018-08-19	121	42	1249	52454	7132	9142	1839	1261	3
2018-08-26	123	41	1261	52794	7175	9492	1886	1270	3
2018-09-02	13	1	91	2671	433	1245	210	52	30
2018-09-09	19	1	94	2986	515	1102	243	87	38
2018-09-16	27	2	141	3678	655	897	296	98	42
2018-09-23	28	3	153	4338	733	745	335	111	52
2018-09-30	30	3	183	5116	840	823	357	115	59
2018-10-07	30	3	186	5472	860	1408	339	100	59
2018-10-14	24	3	187	5775	870	1596	351	109	61
2018-10-21	28	3	189	6098	935	1756	334	114	81
2018-10-28	34	3	180	6296	981	1747	335	152	93
2018-11-04	34	3	175	6379	1030	1505	352	155	99
2018-11-11	33	4	191	6460	1057	1457	369	148	102
2018-11-18	29	3	195	6398	1015	1689	368	146	93
2018-11-25	24	2	193	6203	996	1723	369	134	84
2018-12-02	25	3	200	6257	1029	1683	384	134	75
2018-12-09	26	2	190	6298	1063	1806	380	129	77
2018-12-16	31	2	185	6259	1113	1550	373	137	79
2018-12-23	33	2	182	6046	1092	1388	361	129	86
2018-12-30	35	2	185	5928	1108	1261	376	142	87
2019-01-06	36	5	202	6342	1161	1338	392	157	90
2019-01-13	40	5	210	6633	1207	1348	415	153	110
2019-01-20	42	7	220	7124	1286	1714	423	161	113
2019-01-27	39	9	238	7573	1338	1824	438	178	126
2019-02-03	36	9	276	7681	1456	1771	473	186	137
2019-02-10	38	11	264	7766	1411	1933	451	192	127
2019-02-17	38	9	275	7965	1451	2232	469	192	132
2019-02-24	39	7	281	8184	1475	2306	469	194	125
2019-03-03	41	3	259	8196	1482	2073	488	186	127
2019-03-10	36	2	254	8262	1468	1937	477	179	126
