date	linux	winnt	darwin	freebsd	sunos	cygwin	netbsd	openbsd	other	CYGWIN	Darwin	FreeBSD	Linux	NetBSD	OpenBSD	Other	SunOS	WINNT
2017-03-26										0	10	4	303	0	0	0	0	5
2017-04-02										0	57	15	1038	0	0	0	1	27
2017-04-09										0	81	37	1809	0	0	0	5	58
2017-04-16										0	126	41	2548	0	0	0	7	81
2017-04-23										0	168	49	3246	0	0	0	15	96
2017-04-30										0	198	54	3916	0	0	0	18	138
2017-05-07										0	227	66	4701	0	0	0	19	219
2017-05-14										0	273	82	5471	0	0	0	23	326
2017-05-21										0	302	83	5857	0	0	0	23	388
2017-05-28										0	302	83	5858	0	0	0	23	388
2017-06-04										0	328	90	6340	0	0	0	25	442
2017-06-11										0	361	98	7022	0	0	0	26	530
2017-06-18										1	392	105	7719	0	0	0	29	629
2017-06-25										1	429	115	8447	0	0	0	31	725
2017-07-02										1	458	119	9111	1	0	0	32	832
2017-07-09										1	480	129	9807	1	0	0	33	939
2017-07-16										1	517	136	10560	1	0	0	34	1065
2017-07-23										1	552	143	11288	1	0	0	36	1188
2017-07-30										1	578	148	11999	1	0	0	38	1288
2017-08-06										1	615	156	12697	1	0	0	43	1380
2017-08-13										1	649	168	13416	1	0	0	46	1504
2017-08-20										1	688	175	14203	1	0	0	51	1635
2017-08-27										1	716	187	14915	1	0	0	55	1750
2017-09-03										1	751	193	15685	1	0	0	56	1874
2017-09-10										1	776	198	16413	1	0	0	57	1989
2017-09-17										1	806	206	17187	2	0	0	61	2100
2017-09-24										1	848	211	17888	2	0	0	62	2251
2017-10-01										1	879	216	18583	2	0	0	63	2386
2017-10-08										1	903	224	19398	2	0	0	70	2520
2017-10-15										2	945	231	20140	2	0	0	74	2677
2017-10-22										2	976	236	20932	2	1	0	78	2830
2017-10-29										2	998	242	21726	2	1	0	83	2960
2017-11-05										2	1036	248	22582	2	1	0	86	3109
2017-11-12										2	1068	256	23382	2	1	0	90	3275
2017-11-19										2	1097	267	24255	2	1	0	92	3441
2017-11-26										2	1157	275	25350	2	1	0	98	3577
2017-12-03										4	1187	279	26178	2	1	0	99	3719
2017-12-10										4	1213	287	26992	2	1	0	101	3841
2017-12-17										4	1236	295	27827	2	1	0	103	3950
2017-12-24										4	1265	301	28520	2	1	0	107	4021
2017-12-31										4	1306	309	29341	2	1	0	110	4111
2018-01-07										4	1339	311	30270	2	1	0	115	4259
2018-01-14										4	1373	314	31170	2	1	0	118	4387
2018-01-21										4	1404	333	32007	2	1	0	122	4550
2018-01-28										4	1426	345	32889	2	1	0	126	4670
2018-02-04										6	1459	351	33782	2	1	0	129	4863
2018-02-11										6	1503	366	34555	4	1	0	132	4993
2018-02-18										6	1533	382	35431	4	1	0	133	5183
2018-02-25										6	1570	389	36353	4	1	0	136	5342
2018-03-04										6	1603	395	37238	4	1	0	139	5492
