date	5.5	5.6	7.0	7.1	7.2	7.3	7.4	8.0	8.1	8.2	other	Other
2017-03-26												
2017-04-02												
2017-04-09												
2017-04-16												
2017-04-23	0	4	3	2	0							0
2017-04-30	2	14	12	5	0							0
2017-05-07	4	22	22	10	0							0
2017-05-14	5	32	33	11	0							0
2017-05-21	5	35	40	13	0							0
2017-05-28	5	35	40	13	0							0
2017-06-04	6	41	50	15	0							0
2017-06-11	6	45	57	24	0							0
2017-06-18	8	51	70	25	0							0
2017-06-25	8	55	80	32	0							0
2017-07-02	9	57	101	42	0							0
2017-07-09	9	61	107	49	0							0
2017-07-16	9	63	115	50	0							0
2017-07-23	14	63	130	55	0							0
2017-07-30	14	66	138	58	0							0
2017-08-06	15	69	146	65	0							0
2017-08-13	15	71	154	72	0							0
2017-08-20	15	74	164	78	0							0
2017-08-27	16	75	186	79	0							0
2017-09-03	16	77	197	81	0							0
2017-09-10	17	81	207	85	0							0
2017-09-17	17	82	215	89	0							0
2017-09-24	17	82	208	88	0							0
2017-10-01	17	82	206	88	0							0
2017-10-08	17	81	210	89	0							0
2017-10-15	16	81	208	87	0							0
2017-10-22	16	81	207	87	0							0
2017-10-29	16	82	206	88	0							0
2017-11-05	16	82	206	90	0							0
2017-11-12	16	81	206	90	0							0
2017-11-19	16	81	205	91	0							0
2017-11-26	16	83	205	93	0							0
2017-12-03	18	86	212	103	3							0
2017-12-10	66	262	406	246	21							0
2017-12-17	138	471	728	457	56							0
2017-12-24	169	645	979	612	114							0
2017-12-31	218	884	1268	797	186							0
2018-01-07	262	1152	1616	1002	274							0
2018-01-14	310	1412	1959	1174	351							0
2018-01-21	351	1639	2317	1370	459							0
2018-01-28	405	1898	2670	1506	540							0
2018-02-04	444	2155	3021	1697	668							0
2018-02-11	476	2367	3345	1826	788							0
2018-02-18	527	2596	3716	1987	943							0
2018-02-25	565	2830	4116	2155	1087							0
2018-03-04	602	3092	4455	2320	1216							0
2018-03-11	654	3310	4810	2494	1396							0
2018-03-18	702	3640	5172	2628	1569							0
2018-03-25	744	3954	5512	2772	1697							0
2018-04-01	801	4433	5908	2952	1830							0
2018-04-08	848	4720	6222	3136	1984							0
2018-04-15	891	5011	6575	3318	2367							0
2018-04-22	936	5296	6925	3464	2857							0
2018-04-29	974	5558	7231	3589	3323							0
2018-05-06	1022	5792	7493	3713	3959							0
2018-05-13	1055	6079	7838	3842	4556							0
2018-05-20	1114	6329	8130	3981	5086							0
2018-05-27	1170	6598	8428	4097	5606							0
2018-06-03	1219	6858	8791	4214	6215							0
2018-06-10	1241	7017	8964	4290	6818							0
2018-06-17	1244	7098	8966	4306	7006							0
2018-06-24	1250	7188	8966	4301	7318							0
2018-07-01	1259	7281	8969	4308	7749							0
2018-07-08	1263	7374	8967	4310	8199							0
2018-07-15	1268	7432	8978	4317	8498							0
2018-07-22	1267	7483	8985	4325	8717							0
2018-07-29	1268	7574	8984	4328	9088							0
2018-08-05	1273	7648	8989	4326	9402							0
2018-08-12	1279	7684	8995	4330	9670							0
2018-08-19	1282	7719	9003	4332	9951							0
2018-08-26	1288	7764	9014	4333	10293							0
2018-09-02	20	184	64	20	1108	0	0				0	
2018-09-09	13	249	51	19	949	0	0				0	
2018-09-16	14	275	46	21	700	0	0				0	
2018-09-23	8	298	34	23	525	0	0				0	
2018-09-30	6	325	45	31	548	0	0				0	
2018-10-07	9	283	55	27	1113	0	0				0	
2018-10-14	14	297	78	29	1282	0	0				0	
2018-10-21	27	453	166	74	1444	0	0				0	
2018-10-28	31	472	163	74	1459	0	0				0	
2018-11-04	30	474	152	75	1218	0	0				0	
2018-11-11	28	470	126	75	1141	0	0				0	
2018-11-18	22	391	88	46	1345	0	0				0	
2018-11-25	11	303	34	28	1330	0	0				0	
2018-12-02	22	320	34	26	1261	0	0				0	
2018-12-09	20	318	36	29	1371	1	0				0	
2018-12-16	18	350	27	25	1109	1	0				0	
2018-12-23	16	337	24	22	951	2	0				0	
2018-12-30	3	315	17	18	805	4	0				0	
2019-01-06	10	328	15	12	838	5	0				0	
2019-01-13	12	293	15	7	805	6	0				0	
2019-01-20	13	302	21	8	1135	8	0				0	
2019-01-27	13	310	31	10	1216	10	0				0	
2019-02-03	12	293	27	10	1165	8	0				0	
2019-02-10	6	287	37	11	1321	9	0				0	
2019-02-17	8	321	33	11	1587	6	0				0	
2019-02-24	8	321	30	9	1639	5	0				0	
2019-03-03	8	322	27	7	1415	3	0				0	
2019-03-10	9	338	27	7	1262	3	0				0	
2019-03-17	7	318	26	10	680	6	0				0	
2019-03-24	6	306	28	9	334	6	0				0	
2019-03-31	8	266	34	8	272	8	0				0	
2019-04-07	8	254	25	13	58	8	0				0	
