date	version	count
2017-03-26	1.28.0	316
2017-03-26	1.29.0 (ALPHA)	4
2017-03-26	1.29.0 (WMF)	2
2017-04-02	1.28.0	912
2017-04-02	1.28.1	198
2017-04-02	1.29.0 (ALPHA)	24
2017-04-02	1.29.0 (WMF)	4
2017-04-09	1.28.0	1106
2017-04-09	1.28.1	827
2017-04-09	1.29.0 (ALPHA)	50
2017-04-09	1.29.0 (WMF)	6
2017-04-09	1.28.0 (RC)	1
2017-04-16	1.28.1	1557
2017-04-16	1.28.0	1174
2017-04-16	1.29.0 (ALPHA)	63
2017-04-16	1.29.0 (WMF)	8
2017-04-16	1.28.0 (RC)	1
2017-04-23	1.28.1	2247
2017-04-23	1.28.0	1236
2017-04-23	1.29.0 (ALPHA)	72
2017-04-23	1.30.0 (ALPHA)	9
2017-04-23	1.29.0 (WMF)	9
2017-04-23	1.28.0 (RC)	1
2017-04-30	1.28.1	2365
2017-04-30	1.28.0	1285
2017-04-30	1.28.2	557
2017-04-30	1.29.0 (ALPHA)	71
2017-04-30	1.30.0 (ALPHA)	33
2017-04-30	1.29.0 (WMF)	11
2017-04-30	1.28.0 (RC)	1
2017-04-30	1.29.0 (RC)	1
2017-05-07	1.28.1	2369
2017-05-07	1.28.2	1373
2017-05-07	1.28.0	1346
2017-05-07	1.29.0 (ALPHA)	72
2017-05-07	1.30.0 (ALPHA)	57
2017-05-07	1.29.0 (WMF)	10
2017-05-07	1.29.0 (RC)	3
2017-05-07	1.28.0 (RC)	1
2017-05-07	1.30.0 (WMF)	1
2017-05-14	1.28.1	2381
2017-05-14	1.28.2	2241
2017-05-14	1.28.0	1382
2017-05-14	1.30.0 (ALPHA)	80
2017-05-14	1.29.0 (ALPHA)	73
2017-05-14	1.29.0 (WMF)	11
2017-05-14	1.29.0 (RC)	4
2017-05-14	1.28.0 (RC)	2
2017-05-14	1.30.0 (WMF)	1
2017-05-21	1.28.2	2671
2017-05-21	1.28.1	2383
2017-05-21	1.28.0	1414
2017-05-21	1.30.0 (ALPHA)	91
2017-05-21	1.29.0 (ALPHA)	73
2017-05-21	1.29.0 (WMF)	11
2017-05-21	1.29.0 (RC)	6
2017-05-21	1.28.0 (RC)	2
2017-05-21	1.30.0 (WMF)	2
2017-05-28	1.28.2	2671
2017-05-28	1.28.1	2383
2017-05-28	1.28.0	1415
2017-05-28	1.30.0 (ALPHA)	91
2017-05-28	1.29.0 (ALPHA)	73
2017-05-28	1.29.0 (WMF)	11
2017-05-28	1.29.0 (RC)	6
2017-05-28	1.28.0 (RC)	2
2017-05-28	1.30.0 (WMF)	2
2017-06-04	1.28.2	3191
2017-06-04	1.28.1	2385
2017-06-04	1.28.0	1437
2017-06-04	1.30.0 (ALPHA)	109
2017-06-04	1.29.0 (ALPHA)	72
2017-06-04	1.29.0 (RC)	15
2017-06-04	1.29.0 (WMF)	11
2017-06-04	1.30.0 (WMF)	3
2017-06-04	1.28.0 (RC)	2
2017-06-11	1.28.2	3912
2017-06-11	1.28.1	2406
2017-06-11	1.28.0	1484
2017-06-11	1.30.0 (ALPHA)	127
2017-06-11	1.29.0 (ALPHA)	74
2017-06-11	1.29.0 (RC)	17
2017-06-11	1.29.0 (WMF)	10
2017-06-11	1.30.0 (WMF)	5
2017-06-11	1.28.0 (RC)	2
2017-06-18	1.28.2	4664
2017-06-18	1.28.1	2420
2017-06-18	1.28.0	1528
2017-06-18	1.30.0 (ALPHA)	148
2017-06-18	1.29.0 (ALPHA)	74
2017-06-18	1.29.0 (RC)	23
2017-06-18	1.29.0 (WMF)	10
2017-06-18	1.30.0 (WMF)	6
2017-06-18	1.28.0 (RC)	2
2017-06-25	1.28.2	5426
2017-06-25	1.28.1	2460
2017-06-25	1.28.0	1565
2017-06-25	1.30.0 (ALPHA)	169
2017-06-25	1.29.0 (ALPHA)	75
2017-06-25	1.29.0 (RC)	35
2017-06-25	1.29.0 (WMF)	10
2017-06-25	1.30.0 (WMF)	6
2017-06-25	1.28.0 (RC)	2
2017-07-02	1.28.2	6145
2017-07-02	1.28.1	2476
2017-07-02	1.28.0	1597
2017-07-02	1.30.0 (ALPHA)	201
2017-07-02	1.29.0 (ALPHA)	75
2017-07-02	1.29.0 (RC)	41
2017-07-02	1.29.0 (WMF)	9
2017-07-02	1.30.0 (WMF)	8
2017-07-02	1.28.0 (RC)	2
2017-07-09	1.28.2	6712
2017-07-09	1.28.1	2457
2017-07-09	1.28.0	1614
2017-07-09	1.29.0	250
2017-07-09	1.30.0 (ALPHA)	214
2017-07-09	1.29.0 (ALPHA)	76
2017-07-09	1.29.0 (RC)	44
2017-07-09	1.30.0 (WMF)	12
2017-07-09	1.29.0 (WMF)	9
2017-07-09	1.28.0 (RC)	2
2017-07-16	1.28.2	6846
2017-07-16	1.28.1	2454
2017-07-16	1.28.0	1648
2017-07-16	1.29.0	993
2017-07-16	1.30.0 (ALPHA)	223
2017-07-16	1.29.0 (ALPHA)	78
2017-07-16	1.29.0 (RC)	47
2017-07-16	1.30.0 (WMF)	14
2017-07-16	1.29.0 (WMF)	9
2017-07-16	1.28.0 (RC)	2
2017-07-23	1.28.2	6940
2017-07-23	1.28.1	2456
2017-07-23	1.29.0	1741
2017-07-23	1.28.0	1672
2017-07-23	1.30.0 (ALPHA)	239
2017-07-23	1.29.0 (ALPHA)	78
2017-07-23	1.29.0 (RC)	48
2017-07-23	1.30.0 (WMF)	23
2017-07-23	1.29.0 (WMF)	9
2017-07-23	1.28.0 (RC)	2
2017-07-23	1.28.0 (ALPHA)	1
2017-07-30	1.28.2	7022
2017-07-30	1.29.0	2463
2017-07-30	1.28.1	2457
2017-07-30	1.28.0	1696
2017-07-30	1.30.0 (ALPHA)	251
2017-07-30	1.29.0 (ALPHA)	79
2017-07-30	1.29.0 (RC)	48
2017-07-30	1.30.0 (WMF)	25
2017-07-30	1.29.0 (WMF)	9
2017-07-30	1.28.0 (RC)	2
2017-07-30	1.28.0 (ALPHA)	1
2017-08-06	1.28.2	7078
2017-08-06	1.29.0	3202
2017-08-06	1.28.1	2457
2017-08-06	1.28.0	1724
2017-08-06	1.30.0 (ALPHA)	268
2017-08-06	1.29.0 (ALPHA)	78
