date	1.28	1.29	1.30	1.31	1.32	1.33	1.34	1.35	1.36	1.37	1.38	other	Other
2017-03-26	316	6	0	0	0								0
2017-04-02	1110	28	0	0	0								0
2017-04-09	1934	56	0	0	0								0
2017-04-16	2732	71	0	0	0								0
2017-04-23	3484	81	9	0	0								0
2017-04-30	4208	83	33	0	0								0
2017-05-07	5089	85	58	0	0								0
2017-05-14	6006	88	81	0	0								0
2017-05-21	6470	90	93	0	0								0
2017-05-28	6471	90	93	0	0								0
2017-06-04	7015	98	112	0	0								0
2017-06-11	7804	101	132	0	0								0
2017-06-18	8614	107	154	0	0								0
2017-06-25	9453	120	175	0	0								0
2017-07-02	10220	125	209	0	0								0
2017-07-09	10785	379	226	0	0								0
2017-07-16	10950	1127	237	0	0								0
2017-07-23	11071	1876	262	0	0								0
2017-07-30	11178	2599	276	0	0								0
2017-08-06	11262	3336	295	0	0								0
2017-08-13	11342	4131	312	0	0								0
2017-08-20	11406	5017	331	0	0								0
2017-08-27	11502	5767	356	0	0								0
2017-09-03	11604	6586	371	0	0								0
2017-09-10	11681	7364	390	0	0								0
2017-09-17	11762	8189	403	9	0								0
2017-09-24	11857	8971	395	40	0								0
2017-10-01	11935	9747	393	55	0								0
2017-10-08	12022	10618	397	81	0								0
2017-10-15	12088	11488	392	103	0								0
2017-10-22	12163	12377	391	126	0								0
2017-10-29	12242	13226	392	154	0								0
2017-11-05	12302	14195	394	175	0								0
2017-11-12	12364	15124	393	195	0								0
2017-11-19	12431	16119	393	214	0								0
2017-11-26	12511	17319	397	234	0								1
2017-12-03	12578	18220	422	248	0								1
2017-12-10	12632	18533	1001	274	0								1
2017-12-17	12717	18560	1850	289	0								1
2017-12-24	12794	18599	2519	307	0								1
2017-12-31	12852	18652	3353	325	0								1
2018-01-07	12925	18719	4306	349	0								1
2018-01-14	12997	18791	5206	373	0								1
2018-01-21	13065	18829	6136	391	0								1
2018-01-28	13129	18895	7019	418	0								1
2018-02-04	13223	18945	7985	438	0								1
2018-02-11	13294	18988	8802	474	0								1
2018-02-18	13366	19033	9769	503	0								1
2018-02-25	13440	19081	10753	525	0								1
2018-03-04	13511	19137	11685	543	0								1
2018-03-11	13587	19184	12664	562	0								1
2018-03-18	13543	19220	13711	580	0								1
2018-03-25	13512	19266	14679	601	0								1
2018-04-01	13494	19023	15924	573	0								1
2018-04-08	13494	19060	16910	602	0								1
2018-04-15	13492	19083	18162	605	15								1
2018-04-22	13498	19117	19478	604	46								1
2018-04-29	13503	19148	20675	608	75								1
2018-05-06	13505	19186	21979	604	94								1
2018-05-13	13512	19203	23370	611	113								1
2018-05-20	13511	19238	24640	622	135								1
2018-05-27	13513	19263	25899	647	164								1
2018-06-03	13510	19287	27297	646	179								1
2018-06-10	13510	19307	28330	950	199								1
2018-06-17	13510	19337	28620	1672	205								1
2018-06-24	13513	19394	29023	2409	218								1
2018-07-01	13509	19427	29566	3043	242								1
2018-07-08	13517	19453	30113	3764	262								1
2018-07-15	13512	19464	30493	4592	274								1
2018-07-22	13521	19485	30777	5391	302								1
2018-07-29	13517	19500	31242	6117	311								1
2018-08-05	13525	19526	31638	6843	321								1
2018-08-12	13526	19530	31958	7333	329								1
2018-08-19	13532	19544	32287	7751	336								1
2018-08-26	13532	19552	32692	8137	341								1
2018-09-02	34	71	1396	3150	95	0	0	0	0			0	
2018-09-09	39	90	1281	3579	96	0	0	0	0			0	
2018-09-16	42	172	1056	4440	126	0	0	0	0			0	
2018-09-23	38	208	888	5207	157	0	0	0	0			0	
2018-09-30	44	237	955	6108	182	0	0	0	0			0	
2018-10-07	54	244	1487	6473	199	0	0	0	0			0	
2018-10-14	52	236	1700	6786	192	10	0	0	0			0	
2018-10-21	56	202	2164	6913	178	25	0	0	0			0	
2018-10-28	48	209	2199	7157	158	50	0	0	0			0	
2018-11-04	34	182	1949	7339	142	86	0	0	0			0	
2018-11-11	31	194	1840	7532	134	90	0	0	0			0	
2018-11-18	34	164	1892	7616	141	88	0	0	0			1	
2018-11-25	35	138	1706	7604	139	105	0	0	0			1	
2018-12-02	36	129	1663	7733	141	87	0	0	0			1	
2018-12-09	40	116	1775	7802	142	95	0	0	0			1	
2018-12-16	44	105	1530	7807	134	108	0	0	0			1	
2018-12-23	40	83	1352	7606	136	102	0	0	0			0	
2018-12-30	37	86	1162	7590	130	119	0	0	0			0	
2019-01-06	27	107	1208	7910	339	132	0	0	0			0	
2019-01-13	22	128	1138	7369	1331	133	0	0	0			0	
2019-01-20	26	142	1487	7112	2178	145	0	0	0			0	
2019-01-27	35	170	1590	6727	3086	155	0	0	0			0	
2019-02-03	38	175	1515	6061	4085	151	0	0	0			0	
2019-02-10	51	159	1671	5833	4329	150	0	0	0			0	
2019-02-17	54	170	1966	5755	4640	178	0	0	0			0	
2019-02-24	50	178	2012	5735	4918	187	0	0	0			0	
2019-03-03	67	148	1782	5589	5071	198	0	0	0			0	
2019-03-10	67	150	1646	5500	5181	197	0	0	0			0	
2019-03-17	57	154	1047	5341	5172	187	0	0	0			0	
2019-03-24	54	145	689	5377	5315	173	0	0	0			0	
2019-03-31	43	139	596	5282	5545	161	0	0	0			0	
2019-04-07	41	146	366	5174	5909	167	11	0	0			1	
2019-04-14	29	133	334	5148	6155	152	38	0	0			1	
2019-04-21	25	145	313	5004	6338	132	52	0	0			1	
2019-04-28	27	124	310	4834	6657	120	75	0	0			1	
2019-05-05	29	111	310	4813	6971	107	93	0	0			1	
2019-05-12	34	119	323	4830	7269	102	94	0	0			0	
